organization,switch,switch_serial,port_id,port_name,enabled,,,switch,Inactive Enabled Count,Platoon,,Platoon,Count To Disable,Proposed Date,,Platoon,switch
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,2,ShoreTel,True,,,2nd Floor Stack 1 - 1,37,4,,1,52,06/03/25,,1,High FCC Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,3,ShoreTel,True,,,2nd Floor Stack 1 - 2,34,5,,2,138,06/09/25,,1,High FCC Stack 1-2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,4,ShoreTel (Hillrom Staging),True,,,2nd Floor Stack 1 - 3,35,6,,3,165,06/16/25,,2,Adrian-SW01
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,7,ShoreTel,True,,,2nd Floor Stack 1 - 4,44,7,,4,154,06/23/25,,2,Nursery FCC Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,10,ShoreTel,True,,,2nd Floor Stack 1 - 5,33,8,,5,214,06/30/25,,2,Nursery FCC Stack 1-2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,11,ShoreTel,True,,,2nd Floor Stack 1 - 6,43,9,,6,226,07/07/25,,2,OPC Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,15,ShoreTel,True,,,Adrian-SW01,22,2,,7,223,07/14/25,,2,Rich Hill
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,16,ShoreTel,True,,,Data Center 410-2,14,,,8,202,07/21/25,,3,East Class Room
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,17,ShoreTel,True,,,Data Center Core 410-1,5,,,9,195,07/28/25,,3,East Wing Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,18,Data,True,,,Data Center Stack 1-1,43,4,,,,,,3,East Wing Stack 1-2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,19,ShoreTel,True,,,Data Center Stack 1-2,43,5,,,,,,3,Education Basement
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,21,ShoreTel,True,,,Data Center Stack 1-3,45,6,,,,,,4,2nd Floor Stack 1 - 1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,22,ShoreTel,True,,,Data Center Stack 1-4,44,7,,,,,,4,Data Center Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,24,ShoreTel,True,,,Data Center Stack 1-5,45,8,,,,,,4,Surgery Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,25,Ultrasound Test,True,,,Data Center Stack 1-6,48,9,,,,,,4,Telco Rm Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,26,ShoreTel Data,True,,,East Class Room,39,3,,,,,,4,Telco Rm Stack 1-2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,29,Data,True,,,East Wing Stack 1-1,36,3,,,,,,5,2nd Floor Stack 1 - 2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,30,ShoreTel Data,True,,,East Wing Stack 1-2,41,3,,,,,,5,Data Center Stack 1-2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,31,ShoreTel Data,True,,,Education Basement,49,3,,,,,,5,Radiology 1 Stack 1-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,32,ShoreTel Data,True,,,Fiber GW Telco rm MS-410,15,,,,,,,5,Surgery Stack 1-2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,33,ShoreTel Data,True,,,High FCC Stack 1-1,28,1,,,,,,5,Telco Rm Stack 1-3
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,34,ShoreTel Data,True,,,High FCC Stack 1-2,24,1,,,,,,5,Telco Rm Stack 1-4
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,35,Voice and Data,True,,,Infusion Center,33,7,,,,,,6,2nd Floor Stack 1 - 3
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,38,Static,True,,,Nursery FCC Stack 1-1,18,2,,,,,,6,Data Center Stack 1-3
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,39,Static,True,,,Nursery FCC Stack 1-2,33,2,,,,,,6,Radiology 1 Stack 1-2
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,40,Static,True,,,OPC Stack 1-1,34,2,,,,,,6,Surgery Stack 1-3
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,41,Static,True,,,Radiology 1 Stack 1-1,31,5,,,,,,6,Telco Rm Stack 1-5
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,42,Static,True,,,Radiology 1 Stack 1-2,34,6,,,,,,6,Telco Rm Stack 1-6
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,43,Static,True,,,Radiology 1 Stack 1-3,25,7,,,,,,7,2nd Floor Stack 1 - 4
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,44,Static,True,,,Radiology 1 Stack 1-4,25,8,,,,,,7,Data Center Stack 1-4
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,45,ST48A1,True,,,Rich Hill,31,2,,,,,,7,Infusion Center
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,46,,True,,,Surgery Stack 1-1,26,4,,,,,,7,Radiology 1 Stack 1-3
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,47,AP Wireless,True,,,Surgery Stack 1-2,24,5,,,,,,7,Surgery Stack 1-4
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,48,Wireless,True,,,Surgery Stack 1-3,19,6,,,,,,7,Telco Rm Stack 1-7
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,50,,True,,,Surgery Stack 1-4,27,7,,,,,,7,Telco Rm Stack 2-1
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,51,,True,,,Surgery Stack 1-5,42,8,,,,,,8,2nd Floor Stack 1 - 5
BCMH,2nd Floor Stack 1 - 1,Q2QW-33JA-DJYS,52,,True,,,Surgery Stack 1-6,32,9,,,,,,8,Data Center Stack 1-5
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,1,ShoreTel,True,,,Telco Rm Stack 1-1,22,4,,,,,,8,Radiology 1 Stack 1-4
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,2,ShoreTel,True,,,Telco Rm Stack 1-2,26,4,,,,,,8,Surgery Stack 1-5
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,3,ShoreTel,True,,,Telco Rm Stack 1-3,31,5,,,,,,8,Telco Rm Stack 2-2
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,4,ShoreTel,True,,,Telco Rm Stack 1-4,51,5,,,,,,8,Telco Rm Stack 2-3
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,5,ShoreTel,True,,,Telco Rm Stack 1-5,51,6,,,,,,9,2nd Floor Stack 1 - 6
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,7,ShoreTel,True,,,Telco Rm Stack 1-6,42,6,,,,,,9,Data Center Stack 1-6
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,9,ShoreTel,True,,,Telco Rm Stack 1-7,30,7,,,,,,9,Surgery Stack 1-6
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,12,ShoreTel,True,,,Telco Rm Stack 2-1,20,7,,,,,,9,Telco Rm Stack 2-4
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,14,ShoreTel,True,,,Telco Rm Stack 2-2,25,8,,,,,,9,Telco Rm Stack 2-5
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,15,ShoreTel,True,,,Telco Rm Stack 2-3,32,8,,,,,,,Data Center 410-2
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,17,ShoreTel,True,,,Telco Rm Stack 2-4,33,9,,,,,,,Data Center Core 410-1
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,18,ShoreTel,True,,,Telco Rm Stack 2-5,39,9,,,,,,,Fiber GW Telco rm MS-410
